Label,# 样本,平均值,最小值,最大值,标准偏差,异常 %,吞吐量,接收 KB/sec,发送 KB/sec,平均字节数
login,11602,6632,73,17734,2508.00,0.000%,32.24489,22.44,9.04,712.8
获取直播班级,12270,6452,75,27536,2727.97,0.000%,34.09555,26.29,10.28,789.5
查询直播课列表（默认查询条件）,11747,6617,74,28608,2587.69,0.000%,32.63074,24.04,12.26,754.3
强制升级接口,11401,259,16,9743,495.59,0.000%,31.71596,22.22,7.90,717.3
获取直播章节数据,12034,259,17,12774,558.10,0.000%,33.47120,24.36,11.96,745.1
提交试卷,11420,6718,76,28618,2507.98,0.000%,31.73218,22.15,40.63,714.8
HomePage,11391,48,17,5273,147.57,0.000%,31.69334,22.19,8.13,716.8
获取校区分组,11562,6662,75,16811,2540.99,0.000%,32.13488,25.46,8.43,811.3
直播课详情,11543,258,16,9200,468.65,0.000%,32.09947,23.18,9.73,739.6
获取icon图标,11382,41,17,9646,118.32,0.000%,31.67606,22.32,7.64,721.5
练一练年级筛选,11524,6679,74,16051,2554.17,0.000%,32.01191,22.41,8.43,716.8
班课列表,12145,6510,74,28526,2732.06,0.000%,33.74699,24.83,13.50,753.4
课程概述H5,11528,48,17,21699,240.69,0.000%,32.07336,24.36,6.81,777.7
获取年级分组,11346,283,17,24743,628.13,0.000%,31.55576,22.04,8.28,715.1
提交试卷—主观题,11219,275,74,21751,507.13,0.000%,31.21314,21.79,24.35,714.9
获取banner图,11375,40,17,4564,87.04,0.000%,31.66037,22.00,7.67,711.7
练一练列表——全部,11314,285,17,12437,523.41,0.000%,31.47254,22.18,9.99,721.7
获取直播课评价列表,11517,41,17,2169,79.61,0.000%,32.04944,22.54,10.09,720.2
家校任务列表,11779,6612,75,28816,2615.33,0.000%,32.72763,23.10,8.56,722.9
班课详情,11910,269,17,21815,572.30,0.000%,33.12327,24.24,10.00,749.4
测评接口,11336,52,17,3616,146.88,0.000%,31.53549,22.18,10.10,720.1
获取当前学生购物车商品数量,11368,39,17,2945,73.56,0.000%,31.65146,22.04,8.34,713.0
查看章节详情,11550,283,17,10717,536.22,0.000%,32.15309,22.61,9.99,720.0
练一练列表——已做,11295,52,17,9334,167.16,0.000%,31.42974,21.88,9.98,712.9
老师主页—循环获取老师主页详情,11507,40,17,1849,71.60,0.000%,32.02821,22.60,9.40,722.7
学生登录日志,11361,40,17,1942,68.67,0.000%,31.63981,22.24,17.95,719.8
查看试卷列表,11202,242,72,24444,505.97,0.000%,31.18189,21.68,8.65,712.0
做入学测、试卷_开始页面,11332,42,17,1957,67.60,0.000%,31.53621,22.00,10.62,714.3
做练习——开始页,11539,51,17,9641,182.96,0.000%,32.12873,22.37,10.48,713.0
查看练一练结果报告,11290,45,17,9554,123.78,0.000%,31.42510,23.90,8.74,778.8
做入学测、试卷_题目页面,11326,42,17,1914,67.18,0.000%,31.53109,22.59,10.62,733.7
做练习——试题页,11533,44,17,9428,124.44,0.000%,32.12168,22.40,10.48,714.1
查看练一练解析,11287,44,17,3155,81.80,0.000%,31.42838,22.06,8.96,718.8
HTTP Request,11321,44,18,2623,84.65,0.000%,31.54844,22.12,40.48,717.9
查看练一练排行榜,11283,42,17,2499,70.63,0.000%,31.43606,22.12,9.45,720.6
总体,402539,1635,16,28816,3034.80,0.000%,1117.31039,797.08,416.90,730.5
