school_id_1,school_name,lng,lat,address
116,新七中校区,113.676081,34.831211,花园路与三全路向西1000米路南（新七中斜对面）
118,海亮时代ONE校区,113.678648,34.848099,金水区宏康路与香山路交叉口东南角 海亮广场三楼
119,杨金路校区,113.746667,34.850498,杨金路与中州大道交叉口向东1500米聚方科技园三楼
120,二七万达校区,113.646975,34.721666,人和路与汉江路交叉口向西50米路南
125,凤凰城校区,113.716771,34.746644,玉凤路青年路交叉口向南100米路西凤凰幸福城购物中心南馆二楼
127,鑫苑鑫家校区,114.04474,34.707174,南四环与大学路交叉口西南角鑫苑鑫家2期北门
128,棉纺路校区,113.632724,34.7669,棉纺路百花路交叉口北200米路东（宏江瀚苑西门）
129,锦和苑校区,113.534236,34.838788,郑州市高新区西四环与堂门路交叉口向北100米路东（糖果时光小区西门）
130,天一大厦校区,113.711054,34.779917,黄河路姚寨路西南角天一大厦3楼
131,VIP教学中心校区,113.766535,34.758077,东周路商都路交叉口向西150米路北中茁教育中心一楼大山外语
132,碧桂园凤凰湾校区,113.727573,34.420686,平原新区滨湖大道碧桂园凤凰湾1期南门售楼部西侧
133,水木清城校区,113.562265,34.822735,郑州中原区雪松路西、樊楼路南8号楼2层201-209号商铺
134,绿源路校区,113.575663,34.893736,江山路与绿源路交叉口向东50米惠源商务二楼
135,蓝堡湾校区,113.680329,34.804355,金水区文博东路与东风路交叉口东150米路南三楼
136,锦艺城校区,113.732742,34.618958,新郑市龙湖锦艺城商场2号门肯德基对面 一楼商铺大山外语
137,梧桐郡,113.724494,34.630263,龙湖外国语小学向东300米路南
138,凤凰幸福城校区,113.716771,34.746644,金水区青年路凤凰幸福城购物中心北馆2楼
139,杜兰街校区,0,0,
140,东润城校区,0,0,
141,五月花城校区,0,0,
142,荣邦城校区,0,0,
143,阳光城校区,0,0,
144,紫薇里校区,0,0,
145,凯旋门校区,0,0,
